index,counter,key,key_binary_compact,key_binary_spaced
0,0,"[0 0]
[0 0]",0000000000000000,0000 0000 0000 0000
1,0,"[0 0]
[0 a]",0000000000000010,0000 0000 0000 0010
2,2,"[  0   0]
[  0 a^2]",0000000000000100,0000 0000 0000 0100
3,0,"[  0   0]
[  0 a^3]",0000000000001000,0000 0000 0000 1000
4,0,"[    0     0]
[    0 a + 1]",0000000000000011,0000 0000 0000 0011
5,0,"[      0       0]
[      0 a^2 + a]",0000000000000110,0000 0000 0000 0110
6,3,"[        0         0]
[        0 a^3 + a^2]",0000000000001100,0000 0000 0000 1100
7,0,"[          0           0]
[          0 a^3 + a + 1]",0000000000001011,0000 0000 0000 1011
8,0,"[      0       0]
[      0 a^2 + 1]",0000000000000101,0000 0000 0000 0101
9,3,"[      0       0]
[      0 a^3 + a]",0000000000001010,0000 0000 0000 1010
10,0,"[          0           0]
[          0 a^2 + a + 1]",0000000000000111,0000 0000 0000 0111
11,2,"[            0             0]
[            0 a^3 + a^2 + a]",0000000000001110,0000 0000 0000 1110
12,0,"[                0                 0]
[                0 a^3 + a^2 + a + 1]",0000000000001111,0000 0000 0000 1111
13,0,"[            0             0]
[            0 a^3 + a^2 + 1]",0000000000001101,0000 0000 0000 1101
14,0,"[      0       0]
[      0 a^3 + 1]",0000000000001001,0000 0000 0000 1001
15,0,"[0 0]
[0 1]",0000000000000001,0000 0000 0000 0001
16,0,"[a 0]
[0 0]",0010000000000000,0010 0000 0000 0000
17,0,"[a 0]
[0 a]",0010000000000010,0010 0000 0000 0010
18,0,"[  a   0]
[  0 a^2]",0010000000000100,0010 0000 0000 0100
19,0,"[  a   0]
[  0 a^3]",0010000000001000,0010 0000 0000 1000
20,0,"[    a     0]
[    0 a + 1]",0010000000000011,0010 0000 0000 0011
21,0,"[      a       0]
[      0 a^2 + a]",0010000000000110,0010 0000 0000 0110
22,3,"[        a         0]
[        0 a^3 + a^2]",0010000000001100,0010 0000 0000 1100
23,0,"[          a           0]
[          0 a^3 + a + 1]",0010000000001011,0010 0000 0000 1011
24,0,"[      a       0]
[      0 a^2 + 1]",0010000000000101,0010 0000 0000 0101
25,3,"[      a       0]
[      0 a^3 + a]",0010000000001010,0010 0000 0000 1010
26,2,"[          a           0]
[          0 a^2 + a + 1]",0010000000000111,0010 0000 0000 0111
27,0,"[            a             0]
[            0 a^3 + a^2 + a]",0010000000001110,0010 0000 0000 1110
28,0,"[                a                 0]
[                0 a^3 + a^2 + a + 1]",0010000000001111,0010 0000 0000 1111
29,0,"[            a             0]
[            0 a^3 + a^2 + 1]",0010000000001101,0010 0000 0000 1101
30,0,"[      a       0]
[      0 a^3 + 1]",0010000000001001,0010 0000 0000 1001
31,2,"[a 0]
[0 1]",0010000000000001,0010 0000 0000 0001
32,3,"[a^2   0]
[  0   0]",0100000000000000,0100 0000 0000 0000
33,0,"[a^2   0]
[  0   a]",0100000000000010,0100 0000 0000 0010
34,1,"[a^2   0]
[  0 a^2]",0100000000000100,0100 0000 0000 0100
35,0,"[a^2   0]
[  0 a^3]",0100000000001000,0100 0000 0000 1000
36,4,"[  a^2     0]
[    0 a + 1]",0100000000000011,0100 0000 0000 0011
37,1,"[    a^2       0]
[      0 a^2 + a]",0100000000000110,0100 0000 0000 0110
38,0,"[      a^2         0]
[        0 a^3 + a^2]",0100000000001100,0100 0000 0000 1100
39,0,"[        a^2           0]
[          0 a^3 + a + 1]",0100000000001011,0100 0000 0000 1011
40,2,"[    a^2       0]
[      0 a^2 + 1]",0100000000000101,0100 0000 0000 0101
41,0,"[    a^2       0]
[      0 a^3 + a]",0100000000001010,0100 0000 0000 1010
42,0,"[        a^2           0]
[          0 a^2 + a + 1]",0100000000000111,0100 0000 0000 0111
43,0,"[          a^2             0]
[            0 a^3 + a^2 + a]",0100000000001110,0100 0000 0000 1110
44,1,"[              a^2                 0]
[                0 a^3 + a^2 + a + 1]",0100000000001111,0100 0000 0000 1111
45,0,"[          a^2             0]
[            0 a^3 + a^2 + 1]",0100000000001101,0100 0000 0000 1101
46,0,"[    a^2       0]
[      0 a^3 + 1]",0100000000001001,0100 0000 0000 1001
47,0,"[a^2   0]
[  0   1]",0100000000000001,0100 0000 0000 0001
48,8,"[a^3   0]
[  0   0]",1000000000000000,1000 0000 0000 0000
49,0,"[a^3   0]
[  0   a]",1000000000000010,1000 0000 0000 0010
50,0,"[a^3   0]
[  0 a^2]",1000000000000100,1000 0000 0000 0100
51,0,"[a^3   0]
[  0 a^3]",1000000000001000,1000 0000 0000 1000
52,9,"[  a^3     0]
[    0 a + 1]",1000000000000011,1000 0000 0000 0011
53,10,"[    a^3       0]
[      0 a^2 + a]",1000000000000110,1000 0000 0000 0110
54,0,"[      a^3         0]
[        0 a^3 + a^2]",1000000000001100,1000 0000 0000 1100
55,0,"[        a^3           0]
[          0 a^3 + a + 1]",1000000000001011,1000 0000 0000 1011
56,22,"[    a^3       0]
[      0 a^2 + 1]",1000000000000101,1000 0000 0000 0101
57,0,"[    a^3       0]
[      0 a^3 + a]",1000000000001010,1000 0000 0000 1010
58,0,"[        a^3           0]
[          0 a^2 + a + 1]",1000000000000111,1000 0000 0000 0111
59,0,"[          a^3             0]
[            0 a^3 + a^2 + a]",1000000000001110,1000 0000 0000 1110
60,3,"[              a^3                 0]
[                0 a^3 + a^2 + a + 1]",1000000000001111,1000 0000 0000 1111
61,3,"[          a^3             0]
[            0 a^3 + a^2 + 1]",1000000000001101,1000 0000 0000 1101
62,5,"[    a^3       0]
[      0 a^3 + 1]",1000000000001001,1000 0000 0000 1001
63,0,"[a^3   0]
[  0   1]",1000000000000001,1000 0000 0000 0001
64,1,"[a + 1     0]
[    0     0]",0011000000000000,0011 0000 0000 0000
65,1,"[a + 1     0]
[    0     a]",0011000000000010,0011 0000 0000 0010
66,1,"[a + 1     0]
[    0   a^2]",0011000000000100,0011 0000 0000 0100
67,0,"[a + 1     0]
[    0   a^3]",0011000000001000,0011 0000 0000 1000
68,1,"[a + 1     0]
[    0 a + 1]",0011000000000011,0011 0000 0000 0011
69,1,"[  a + 1       0]
[      0 a^2 + a]",0011000000000110,0011 0000 0000 0110
70,0,"[    a + 1         0]
[        0 a^3 + a^2]",0011000000001100,0011 0000 0000 1100
71,0,"[      a + 1           0]
[          0 a^3 + a + 1]",0011000000001011,0011 0000 0000 1011
72,8,"[  a + 1       0]
[      0 a^2 + 1]",0011000000000101,0011 0000 0000 0101
73,0,"[  a + 1       0]
[      0 a^3 + a]",0011000000001010,0011 0000 0000 1010
74,1,"[      a + 1           0]
[          0 a^2 + a + 1]",0011000000000111,0011 0000 0000 0111
75,0,"[        a + 1             0]
[            0 a^3 + a^2 + a]",0011000000001110,0011 0000 0000 1110
76,0,"[            a + 1                 0]
[                0 a^3 + a^2 + a + 1]",0011000000001111,0011 0000 0000 1111
77,2,"[        a + 1             0]
[            0 a^3 + a^2 + 1]",0011000000001101,0011 0000 0000 1101
78,5,"[  a + 1       0]
[      0 a^3 + 1]",0011000000001001,0011 0000 0000 1001
79,1,"[a + 1     0]
[    0     1]",0011000000000001,0011 0000 0000 0001
80,0,"[a^2 + a       0]
[      0       0]",0110000000000000,0110 0000 0000 0000
81,0,"[a^2 + a       0]
[      0       a]",0110000000000010,0110 0000 0000 0010
82,1,"[a^2 + a       0]
[      0     a^2]",0110000000000100,0110 0000 0000 0100
83,0,"[a^2 + a       0]
[      0     a^3]",0110000000001000,0110 0000 0000 1000
84,0,"[a^2 + a       0]
[      0   a + 1]",0110000000000011,0110 0000 0000 0011
85,0,"[a^2 + a       0]
[      0 a^2 + a]",0110000000000110,0110 0000 0000 0110
86,0,"[  a^2 + a         0]
[        0 a^3 + a^2]",0110000000001100,0110 0000 0000 1100
87,0,"[    a^2 + a           0]
[          0 a^3 + a + 1]",0110000000001011,0110 0000 0000 1011
88,0,"[a^2 + a       0]
[      0 a^2 + 1]",0110000000000101,0110 0000 0000 0101
89,0,"[a^2 + a       0]
[      0 a^3 + a]",0110000000001010,0110 0000 0000 1010
90,0,"[    a^2 + a           0]
[          0 a^2 + a + 1]",0110000000000111,0110 0000 0000 0111
91,0,"[      a^2 + a             0]
[            0 a^3 + a^2 + a]",0110000000001110,0110 0000 0000 1110
92,2,"[          a^2 + a                 0]
[                0 a^3 + a^2 + a + 1]",0110000000001111,0110 0000 0000 1111
93,0,"[      a^2 + a             0]
[            0 a^3 + a^2 + 1]",0110000000001101,0110 0000 0000 1101
94,1,"[a^2 + a       0]
[      0 a^3 + 1]",0110000000001001,0110 0000 0000 1001
95,0,"[a^2 + a       0]
[      0       1]",0110000000000001,0110 0000 0000 0001
96,0,"[a^3 + a^2         0]
[        0         0]",1100000000000000,1100 0000 0000 0000
97,0,"[a^3 + a^2         0]
[        0         a]",1100000000000010,1100 0000 0000 0010
98,2,"[a^3 + a^2         0]
[        0       a^2]",1100000000000100,1100 0000 0000 0100
99,0,"[a^3 + a^2         0]
[        0       a^3]",1100000000001000,1100 0000 0000 1000
100,0,"[a^3 + a^2         0]
[        0     a + 1]",1100000000000011,1100 0000 0000 0011
101,1,"[a^3 + a^2         0]
[        0   a^2 + a]",1100000000000110,1100 0000 0000 0110
102,0,"[a^3 + a^2         0]
[        0 a^3 + a^2]",1100000000001100,1100 0000 0000 1100
103,0,"[  a^3 + a^2           0]
[          0 a^3 + a + 1]",1100000000001011,1100 0000 0000 1011
104,3,"[a^3 + a^2         0]
[        0   a^2 + 1]",1100000000000101,1100 0000 0000 0101
105,0,"[a^3 + a^2         0]
[        0   a^3 + a]",1100000000001010,1100 0000 0000 1010
106,0,"[  a^3 + a^2           0]
[          0 a^2 + a + 1]",1100000000000111,1100 0000 0000 0111
107,2,"[    a^3 + a^2             0]
[            0 a^3 + a^2 + a]",1100000000001110,1100 0000 0000 1110
108,1,"[        a^3 + a^2                 0]
[                0 a^3 + a^2 + a + 1]",1100000000001111,1100 0000 0000 1111
109,1,"[    a^3 + a^2             0]
[            0 a^3 + a^2 + 1]",1100000000001101,1100 0000 0000 1101
110,0,"[a^3 + a^2         0]
[        0   a^3 + 1]",1100000000001001,1100 0000 0000 1001
111,0,"[a^3 + a^2         0]
[        0         1]",1100000000000001,1100 0000 0000 0001
112,0,"[a^3 + a + 1           0]
[          0           0]",1011000000000000,1011 0000 0000 0000
113,0,"[a^3 + a + 1           0]
[          0           a]",1011000000000010,1011 0000 0000 0010
114,0,"[a^3 + a + 1           0]
[          0         a^2]",1011000000000100,1011 0000 0000 0100
115,0,"[a^3 + a + 1           0]
[          0         a^3]",1011000000001000,1011 0000 0000 1000
116,0,"[a^3 + a + 1           0]
[          0       a + 1]",1011000000000011,1011 0000 0000 0011
117,0,"[a^3 + a + 1           0]
[          0     a^2 + a]",1011000000000110,1011 0000 0000 0110
118,3,"[a^3 + a + 1           0]
[          0   a^3 + a^2]",1011000000001100,1011 0000 0000 1100
119,2,"[a^3 + a + 1           0]
[          0 a^3 + a + 1]",1011000000001011,1011 0000 0000 1011
120,0,"[a^3 + a + 1           0]
[          0     a^2 + 1]",1011000000000101,1011 0000 0000 0101
121,3,"[a^3 + a + 1           0]
[          0     a^3 + a]",1011000000001010,1011 0000 0000 1010
122,2,"[a^3 + a + 1           0]
[          0 a^2 + a + 1]",1011000000000111,1011 0000 0000 0111
123,0,"[  a^3 + a + 1             0]
[            0 a^3 + a^2 + a]",1011000000001110,1011 0000 0000 1110
124,0,"[      a^3 + a + 1                 0]
[                0 a^3 + a^2 + a + 1]",1011000000001111,1011 0000 0000 1111
125,0,"[  a^3 + a + 1             0]
[            0 a^3 + a^2 + 1]",1011000000001101,1011 0000 0000 1101
126,0,"[a^3 + a + 1           0]
[          0     a^3 + 1]",1011000000001001,1011 0000 0000 1001
127,0,"[a^3 + a + 1           0]
[          0           1]",1011000000000001,1011 0000 0000 0001
128,0,"[a^2 + 1       0]
[      0       0]",0101000000000000,0101 0000 0000 0000
129,0,"[a^2 + 1       0]
[      0       a]",0101000000000010,0101 0000 0000 0010
130,0,"[a^2 + 1       0]
[      0     a^2]",0101000000000100,0101 0000 0000 0100
131,0,"[a^2 + 1       0]
[      0     a^3]",0101000000001000,0101 0000 0000 1000
132,0,"[a^2 + 1       0]
[      0   a + 1]",0101000000000011,0101 0000 0000 0011
133,0,"[a^2 + 1       0]
[      0 a^2 + a]",0101000000000110,0101 0000 0000 0110
134,0,"[  a^2 + 1         0]
[        0 a^3 + a^2]",0101000000001100,0101 0000 0000 1100
135,0,"[    a^2 + 1           0]
[          0 a^3 + a + 1]",0101000000001011,0101 0000 0000 1011
136,0,"[a^2 + 1       0]
[      0 a^2 + 1]",0101000000000101,0101 0000 0000 0101
137,0,"[a^2 + 1       0]
[      0 a^3 + a]",0101000000001010,0101 0000 0000 1010
138,0,"[    a^2 + 1           0]
[          0 a^2 + a + 1]",0101000000000111,0101 0000 0000 0111
139,0,"[      a^2 + 1             0]
[            0 a^3 + a^2 + a]",0101000000001110,0101 0000 0000 1110
140,0,"[          a^2 + 1                 0]
[                0 a^3 + a^2 + a + 1]",0101000000001111,0101 0000 0000 1111
141,0,"[      a^2 + 1             0]
[            0 a^3 + a^2 + 1]",0101000000001101,0101 0000 0000 1101
142,0,"[a^2 + 1       0]
[      0 a^3 + 1]",0101000000001001,0101 0000 0000 1001
143,0,"[a^2 + 1       0]
[      0       1]",0101000000000001,0101 0000 0000 0001
144,5,"[a^3 + a       0]
[      0       0]",1010000000000000,1010 0000 0000 0000
145,1,"[a^3 + a       0]
[      0       a]",1010000000000010,1010 0000 0000 0010
146,0,"[a^3 + a       0]
[      0     a^2]",1010000000000100,1010 0000 0000 0100
147,0,"[a^3 + a       0]
[      0     a^3]",1010000000001000,1010 0000 0000 1000
148,5,"[a^3 + a       0]
[      0   a + 1]",1010000000000011,1010 0000 0000 0011
149,5,"[a^3 + a       0]
[      0 a^2 + a]",1010000000000110,1010 0000 0000 0110
150,0,"[  a^3 + a         0]
[        0 a^3 + a^2]",1010000000001100,1010 0000 0000 1100
151,0,"[    a^3 + a           0]
[          0 a^3 + a + 1]",1010000000001011,1010 0000 0000 1011
152,11,"[a^3 + a       0]
[      0 a^2 + 1]",1010000000000101,1010 0000 0000 0101
153,0,"[a^3 + a       0]
[      0 a^3 + a]",1010000000001010,1010 0000 0000 1010
154,1,"[    a^3 + a           0]
[          0 a^2 + a + 1]",1010000000000111,1010 0000 0000 0111
155,0,"[      a^3 + a             0]
[            0 a^3 + a^2 + a]",1010000000001110,1010 0000 0000 1110
156,1,"[          a^3 + a                 0]
[                0 a^3 + a^2 + a + 1]",1010000000001111,1010 0000 0000 1111
157,0,"[      a^3 + a             0]
[            0 a^3 + a^2 + 1]",1010000000001101,1010 0000 0000 1101
158,6,"[a^3 + a       0]
[      0 a^3 + 1]",1010000000001001,1010 0000 0000 1001
159,1,"[a^3 + a       0]
[      0       1]",1010000000000001,1010 0000 0000 0001
160,0,"[a^2 + a + 1           0]
[          0           0]",0111000000000000,0111 0000 0000 0000
161,0,"[a^2 + a + 1           0]
[          0           a]",0111000000000010,0111 0000 0000 0010
162,0,"[a^2 + a + 1           0]
[          0         a^2]",0111000000000100,0111 0000 0000 0100
163,0,"[a^2 + a + 1           0]
[          0         a^3]",0111000000001000,0111 0000 0000 1000
164,0,"[a^2 + a + 1           0]
[          0       a + 1]",0111000000000011,0111 0000 0000 0011
165,0,"[a^2 + a + 1           0]
[          0     a^2 + a]",0111000000000110,0111 0000 0000 0110
166,0,"[a^2 + a + 1           0]
[          0   a^3 + a^2]",0111000000001100,0111 0000 0000 1100
167,0,"[a^2 + a + 1           0]
[          0 a^3 + a + 1]",0111000000001011,0111 0000 0000 1011
168,0,"[a^2 + a + 1           0]
[          0     a^2 + 1]",0111000000000101,0111 0000 0000 0101
169,0,"[a^2 + a + 1           0]
[          0     a^3 + a]",0111000000001010,0111 0000 0000 1010
170,0,"[a^2 + a + 1           0]
[          0 a^2 + a + 1]",0111000000000111,0111 0000 0000 0111
171,0,"[  a^2 + a + 1             0]
[            0 a^3 + a^2 + a]",0111000000001110,0111 0000 0000 1110
172,0,"[      a^2 + a + 1                 0]
[                0 a^3 + a^2 + a + 1]",0111000000001111,0111 0000 0000 1111
173,0,"[  a^2 + a + 1             0]
[            0 a^3 + a^2 + 1]",0111000000001101,0111 0000 0000 1101
174,0,"[a^2 + a + 1           0]
[          0     a^3 + 1]",0111000000001001,0111 0000 0000 1001
175,0,"[a^2 + a + 1           0]
[          0           1]",0111000000000001,0111 0000 0000 0001
176,1,"[a^3 + a^2 + a             0]
[            0             0]",1110000000000000,1110 0000 0000 0000
177,0,"[a^3 + a^2 + a             0]
[            0             a]",1110000000000010,1110 0000 0000 0010
178,0,"[a^3 + a^2 + a             0]
[            0           a^2]",1110000000000100,1110 0000 0000 0100
179,0,"[a^3 + a^2 + a             0]
[            0           a^3]",1110000000001000,1110 0000 0000 1000
180,1,"[a^3 + a^2 + a             0]
[            0         a + 1]",1110000000000011,1110 0000 0000 0011
181,2,"[a^3 + a^2 + a             0]
[            0       a^2 + a]",1110000000000110,1110 0000 0000 0110
182,0,"[a^3 + a^2 + a             0]
[            0     a^3 + a^2]",1110000000001100,1110 0000 0000 1100
183,0,"[a^3 + a^2 + a             0]
[            0   a^3 + a + 1]",1110000000001011,1110 0000 0000 1011
184,3,"[a^3 + a^2 + a             0]
[            0       a^2 + 1]",1110000000000101,1110 0000 0000 0101
185,0,"[a^3 + a^2 + a             0]
[            0       a^3 + a]",1110000000001010,1110 0000 0000 1010
186,1,"[a^3 + a^2 + a             0]
[            0   a^2 + a + 1]",1110000000000111,1110 0000 0000 0111
187,0,"[a^3 + a^2 + a             0]
[            0 a^3 + a^2 + a]",1110000000001110,1110 0000 0000 1110
188,1,"[    a^3 + a^2 + a                 0]
[                0 a^3 + a^2 + a + 1]",1110000000001111,1110 0000 0000 1111
189,0,"[a^3 + a^2 + a             0]
[            0 a^3 + a^2 + 1]",1110000000001101,1110 0000 0000 1101
190,0,"[a^3 + a^2 + a             0]
[            0       a^3 + 1]",1110000000001001,1110 0000 0000 1001
191,1,"[a^3 + a^2 + a             0]
[            0             1]",1110000000000001,1110 0000 0000 0001
192,3,"[a^3 + a^2 + a + 1                 0]
[                0                 0]",1111000000000000,1111 0000 0000 0000
193,0,"[a^3 + a^2 + a + 1                 0]
[                0                 a]",1111000000000010,1111 0000 0000 0010
194,1,"[a^3 + a^2 + a + 1                 0]
[                0               a^2]",1111000000000100,1111 0000 0000 0100
195,0,"[a^3 + a^2 + a + 1                 0]
[                0               a^3]",1111000000001000,1111 0000 0000 1000
196,3,"[a^3 + a^2 + a + 1                 0]
[                0             a + 1]",1111000000000011,1111 0000 0000 0011
197,1,"[a^3 + a^2 + a + 1                 0]
[                0           a^2 + a]",1111000000000110,1111 0000 0000 0110
198,0,"[a^3 + a^2 + a + 1                 0]
[                0         a^3 + a^2]",1111000000001100,1111 0000 0000 1100
199,2,"[a^3 + a^2 + a + 1                 0]
[                0       a^3 + a + 1]",1111000000001011,1111 0000 0000 1011
200,1,"[a^3 + a^2 + a + 1                 0]
[                0           a^2 + 1]",1111000000000101,1111 0000 0000 0101
201,2,"[a^3 + a^2 + a + 1                 0]
[                0           a^3 + a]",1111000000001010,1111 0000 0000 1010
202,2,"[a^3 + a^2 + a + 1                 0]
[                0       a^2 + a + 1]",1111000000000111,1111 0000 0000 0111
203,0,"[a^3 + a^2 + a + 1                 0]
[                0     a^3 + a^2 + a]",1111000000001110,1111 0000 0000 1110
204,1,"[a^3 + a^2 + a + 1                 0]
[                0 a^3 + a^2 + a + 1]",1111000000001111,1111 0000 0000 1111
205,0,"[a^3 + a^2 + a + 1                 0]
[                0     a^3 + a^2 + 1]",1111000000001101,1111 0000 0000 1101
206,0,"[a^3 + a^2 + a + 1                 0]
[                0           a^3 + 1]",1111000000001001,1111 0000 0000 1001
207,2,"[a^3 + a^2 + a + 1                 0]
[                0                 1]",1111000000000001,1111 0000 0000 0001
208,0,"[a^3 + a^2 + 1             0]
[            0             0]",1101000000000000,1101 0000 0000 0000
209,1,"[a^3 + a^2 + 1             0]
[            0             a]",1101000000000010,1101 0000 0000 0010
210,1,"[a^3 + a^2 + 1             0]
[            0           a^2]",1101000000000100,1101 0000 0000 0100
211,0,"[a^3 + a^2 + 1             0]
[            0           a^3]",1101000000001000,1101 0000 0000 1000
212,0,"[a^3 + a^2 + 1             0]
[            0         a + 1]",1101000000000011,1101 0000 0000 0011
213,0,"[a^3 + a^2 + 1             0]
[            0       a^2 + a]",1101000000000110,1101 0000 0000 0110
214,0,"[a^3 + a^2 + 1             0]
[            0     a^3 + a^2]",1101000000001100,1101 0000 0000 1100
215,0,"[a^3 + a^2 + 1             0]
[            0   a^3 + a + 1]",1101000000001011,1101 0000 0000 1011
216,0,"[a^3 + a^2 + 1             0]
[            0       a^2 + 1]",1101000000000101,1101 0000 0000 0101
217,2,"[a^3 + a^2 + 1             0]
[            0       a^3 + a]",1101000000001010,1101 0000 0000 1010
218,0,"[a^3 + a^2 + 1             0]
[            0   a^2 + a + 1]",1101000000000111,1101 0000 0000 0111
219,0,"[a^3 + a^2 + 1             0]
[            0 a^3 + a^2 + a]",1101000000001110,1101 0000 0000 1110
220,2,"[    a^3 + a^2 + 1                 0]
[                0 a^3 + a^2 + a + 1]",1101000000001111,1101 0000 0000 1111
221,0,"[a^3 + a^2 + 1             0]
[            0 a^3 + a^2 + 1]",1101000000001101,1101 0000 0000 1101
222,2,"[a^3 + a^2 + 1             0]
[            0       a^3 + 1]",1101000000001001,1101 0000 0000 1001
223,2,"[a^3 + a^2 + 1             0]
[            0             1]",1101000000000001,1101 0000 0000 0001
224,0,"[a^3 + 1       0]
[      0       0]",1001000000000000,1001 0000 0000 0000
225,0,"[a^3 + 1       0]
[      0       a]",1001000000000010,1001 0000 0000 0010
226,0,"[a^3 + 1       0]
[      0     a^2]",1001000000000100,1001 0000 0000 0100
227,0,"[a^3 + 1       0]
[      0     a^3]",1001000000001000,1001 0000 0000 1000
228,0,"[a^3 + 1       0]
[      0   a + 1]",1001000000000011,1001 0000 0000 0011
229,0,"[a^3 + 1       0]
[      0 a^2 + a]",1001000000000110,1001 0000 0000 0110
230,3,"[  a^3 + 1         0]
[        0 a^3 + a^2]",1001000000001100,1001 0000 0000 1100
231,0,"[    a^3 + 1           0]
[          0 a^3 + a + 1]",1001000000001011,1001 0000 0000 1011
232,0,"[a^3 + 1       0]
[      0 a^2 + 1]",1001000000000101,1001 0000 0000 0101
233,3,"[a^3 + 1       0]
[      0 a^3 + a]",1001000000001010,1001 0000 0000 1010
234,2,"[    a^3 + 1           0]
[          0 a^2 + a + 1]",1001000000000111,1001 0000 0000 0111
235,0,"[      a^3 + 1             0]
[            0 a^3 + a^2 + a]",1001000000001110,1001 0000 0000 1110
236,0,"[          a^3 + 1                 0]
[                0 a^3 + a^2 + a + 1]",1001000000001111,1001 0000 0000 1111
237,0,"[      a^3 + 1             0]
[            0 a^3 + a^2 + 1]",1001000000001101,1001 0000 0000 1101
238,0,"[a^3 + 1       0]
[      0 a^3 + 1]",1001000000001001,1001 0000 0000 1001
239,2,"[a^3 + 1       0]
[      0       1]",1001000000000001,1001 0000 0000 0001
240,1,"[1 0]
[0 0]",0001000000000000,0001 0000 0000 0000
241,1,"[1 0]
[0 a]",0001000000000010,0001 0000 0000 0010
242,1,"[  1   0]
[  0 a^2]",0001000000000100,0001 0000 0000 0100
243,0,"[  1   0]
[  0 a^3]",0001000000001000,0001 0000 0000 1000
244,1,"[    1     0]
[    0 a + 1]",0001000000000011,0001 0000 0000 0011
245,1,"[      1       0]
[      0 a^2 + a]",0001000000000110,0001 0000 0000 0110
246,0,"[        1         0]
[        0 a^3 + a^2]",0001000000001100,0001 0000 0000 1100
247,0,"[          1           0]
[          0 a^3 + a + 1]",0001000000001011,0001 0000 0000 1011
248,6,"[      1       0]
[      0 a^2 + 1]",0001000000000101,0001 0000 0000 0101
249,0,"[      1       0]
[      0 a^3 + a]",0001000000001010,0001 0000 0000 1010
250,1,"[          1           0]
[          0 a^2 + a + 1]",0001000000000111,0001 0000 0000 0111
251,0,"[            1             0]
[            0 a^3 + a^2 + a]",0001000000001110,0001 0000 0000 1110
252,0,"[                1                 0]
[                0 a^3 + a^2 + a + 1]",0001000000001111,0001 0000 0000 1111
253,0,"[            1             0]
[            0 a^3 + a^2 + 1]",0001000000001101,0001 0000 0000 1101
254,5,"[      1       0]
[      0 a^3 + 1]",0001000000001001,0001 0000 0000 1001
255,1,"[1 0]
[0 1]",0001000000000001,0001 0000 0000 0001
